uuid,date,title,vote
02da6707-6255-4c8b-8e80-818c2d732943,10.04.2014,"Beteiligung der Bundeswehr an EUFOR-Einsatz Zentralafrika","JA"
02da6707-6255-4c8b-8e80-818c2d732943,09.04.2014,"Beteiligung der Bundeswehr bei Vernichtung syrischer Chemiewaffen","JA"
02da6707-6255-4c8b-8e80-818c2d732943,03.04.2014,"Beteiligung deutscher Streikräfte an Ausbildungsmission in Somalia","JA"
02da6707-6255-4c8b-8e80-818c2d732943,03.04.2014,"Minderheitenrechte im Bundestag","JA"
02da6707-6255-4c8b-8e80-818c2d732943,13.03.2014,"Für eine Kennzeichnungspflicht von Gen-Honig","NEIN"
02da6707-6255-4c8b-8e80-818c2d732943,21.02.2014,"Diätenerhöhung","JA"
02da6707-6255-4c8b-8e80-818c2d732943,21.02.2014,"Gesetz zur Strafbarkeit von Abgeordnetenbestechung","JA"
02da6707-6255-4c8b-8e80-818c2d732943,20.02.2014,"Fortsetzung des Afghanistan-Einsatzes (ISAF)","JA"
02da6707-6255-4c8b-8e80-818c2d732943,20.02.2014,"Verlängerung des Bundeswehreinsatzes in Mali","JA"
02da6707-6255-4c8b-8e80-818c2d732943,30.01.2014,"Anbau von Genmais in der EU verhindern","NEIN"
02da6707-6255-4c8b-8e80-818c2d732943,29.01.2014,"Fortsetzung des Patriot-Einsatzes in der Türkei","JA"
02da6707-6255-4c8b-8e80-818c2d732943,29.01.2014,"Verlängerung des Anti-Terror-Einsatzes im Mittelmeer (OAE)","JA"
02da6707-6255-4c8b-8e80-818c2d732943,28.11.2013,"Verlängerung des Bundeswehreinsatzes in Südsudan (UNMISS)","JA"
02da6707-6255-4c8b-8e80-818c2d732943,28.11.2013,"Verlängerung des Darfur-Einsatzes (UNAMID)","JA"
uuid,date,title,vote
037071c0-4cd0-4cf4-949d-4f46f38a378b,22.05.2015,"Tarifeinheitsgesetz","JA"
037071c0-4cd0-4cf4-949d-4f46f38a378b,27.03.2015,"Nachhaltige und zukunftsweisende Liegenschaftspolitik","nicht beteiligt"
037071c0-4cd0-4cf4-949d-4f46f38a378b,27.03.2015,"PKW-Maut","NEIN"
037071c0-4cd0-4cf4-949d-4f46f38a378b,26.03.2015,"Kooperative Holzvermarktung","NEIN"
037071c0-4cd0-4cf4-949d-4f46f38a378b,27.02.2015,"Finanzhilfen für Griechenland","JA"
037071c0-4cd0-4cf4-949d-4f46f38a378b,26.02.2015,"Verlängerung des Bundeswehreinsatzes in Mali (EUTM Mali)","JA"
037071c0-4cd0-4cf4-949d-4f46f38a378b,29.01.2015,"Ausbildungsunterstützungseinsatz Kurdistan-Irak","nicht beteiligt"
037071c0-4cd0-4cf4-949d-4f46f38a378b,29.01.2015,"Bundeswehreinsatz zur Luftüberwachung in der Türkei","nicht beteiligt"
037071c0-4cd0-4cf4-949d-4f46f38a378b,19.12.2014,"Bundeswehreinsatz in Afghanistan","NEIN"
037071c0-4cd0-4cf4-949d-4f46f38a378b,18.12.2014,"Bundesdatenschutzgesetz","JA"
037071c0-4cd0-4cf4-949d-4f46f38a378b,18.12.2014,"Fortsetzung des Bundeswehreinsatzes im Mittelmeer (ACTIVE ENDEAVOUR)","NEIN"
037071c0-4cd0-4cf4-949d-4f46f38a378b,28.11.2014,"Bundeshaushaltsplan 2015","JA"
037071c0-4cd0-4cf4-949d-4f46f38a378b,13.11.2014,"BAföG-Reform","JA"
037071c0-4cd0-4cf4-949d-4f46f38a378b,13.11.2014,"Fortsetzung des Bundeswehreinsatzes im Südsudan","JA"
037071c0-4cd0-4cf4-949d-4f46f38a378b,13.11.2014,"Lockerung des Kooperationsverbotes bei Hochschulfinanzierung","JA"
037071c0-4cd0-4cf4-949d-4f46f38a378b,13.11.2014,"Verlängerung des Bundeswehreinsatzes in Darfur (UNAMID)","JA"
037071c0-4cd0-4cf4-949d-4f46f38a378b,16.10.2014,"Klage gegen EU-Beschluss zu staatlichen AKW-Beihilfen","NEIN"
037071c0-4cd0-4cf4-949d-4f46f38a378b,25.09.2014,"Ablehnung von Schiedsgerichten bei TTIP und CETA","NEIN"
037071c0-4cd0-4cf4-949d-4f46f38a378b,03.07.2014,"Abschaffung der sachgrundlosen Befristung","NEIN"
037071c0-4cd0-4cf4-949d-4f46f38a378b,03.07.2014,"Änderung des Staatsangehörigkeitsgesetzes","JA"
037071c0-4cd0-4cf4-949d-4f46f38a378b,03.07.2014,"Angleichung der Renten in Ostdeutschland an Westniveau","NEIN"
037071c0-4cd0-4cf4-949d-4f46f38a378b,03.07.2014,"Flächendeckender Mindestlohn von 8,50 Euro","JA"
037071c0-4cd0-4cf4-949d-4f46f38a378b,27.06.2014,"Länderöffnungsklausel zur Vorgabe von Mindestabständen zwischen Windenergieanlagen","JA"
037071c0-4cd0-4cf4-949d-4f46f38a378b,27.06.2014,"Novelle des EEG","JA"
037071c0-4cd0-4cf4-949d-4f46f38a378b,25.06.2014,"Fortsetzung des Libanon-Einsatzes (UNFIL)","JA"
037071c0-4cd0-4cf4-949d-4f46f38a378b,25.06.2014,"Verlängerung der Bundeswehrbeteiligung an UN-Mission in Mali (Unterstützungsmission)","JA"
037071c0-4cd0-4cf4-949d-4f46f38a378b,05.06.2014,"Verlängerung des Bundeswehreinsatzes im Kosovo (KFOR)","nicht beteiligt"
037071c0-4cd0-4cf4-949d-4f46f38a378b,23.05.2014,"Rentenpaket","nicht beteiligt"
037071c0-4cd0-4cf4-949d-4f46f38a378b,22.05.2014,"Änderungsantrag Gesetz zur Sukzessivadoption durch Lebenspartner","nicht beteiligt"
037071c0-4cd0-4cf4-949d-4f46f38a378b,22.05.2014,"Nationale Ausnahmeregelungen beim Anbau von Gentechnik","nicht beteiligt"
037071c0-4cd0-4cf4-949d-4f46f38a378b,22.05.2014,"Verlängerung des Bundeswehreinsatzes gegen Piraterie (Operation Atalanta)","nicht beteiligt"
037071c0-4cd0-4cf4-949d-4f46f38a378b,08.05.2014,"Kündigung der bilateralen Kooperationen im Bereich der Nutzung atomarer Technologien","nicht beteiligt"
037071c0-4cd0-4cf4-949d-4f46f38a378b,08.05.2014,"Mindestlohn in der Fleischwirtschaft","nicht beteiligt"
037071c0-4cd0-4cf4-949d-4f46f38a378b,08.05.2014,"Transparenz bei Rüstungsexportentscheidungen","nicht beteiligt"
037071c0-4cd0-4cf4-949d-4f46f38a378b,10.04.2014,"Beteiligung der Bundeswehr an EUFOR-Einsatz Zentralafrika","nicht beteiligt"
037071c0-4cd0-4cf4-949d-4f46f38a378b,09.04.2014,"Beteiligung der Bundeswehr bei Vernichtung syrischer Chemiewaffen","nicht beteiligt"
037071c0-4cd0-4cf4-949d-4f46f38a378b,03.04.2014,"Beteiligung deutscher Streikräfte an Ausbildungsmission in Somalia","nicht beteiligt"
037071c0-4cd0-4cf4-949d-4f46f38a378b,03.04.2014,"Minderheitenrechte im Bundestag","nicht beteiligt"
037071c0-4cd0-4cf4-949d-4f46f38a378b,13.03.2014,"Für eine Kennzeichnungspflicht von Gen-Honig","NEIN"
037071c0-4cd0-4cf4-949d-4f46f38a378b,21.02.2014,"Diätenerhöhung","JA"
037071c0-4cd0-4cf4-949d-4f46f38a378b,21.02.2014,"Gesetz zur Strafbarkeit von Abgeordnetenbestechung","JA"
037071c0-4cd0-4cf4-949d-4f46f38a378b,20.02.2014,"Fortsetzung des Afghanistan-Einsatzes (ISAF)","NEIN"
037071c0-4cd0-4cf4-949d-4f46f38a378b,20.02.2014,"Verlängerung des Bundeswehreinsatzes in Mali","JA"
037071c0-4cd0-4cf4-949d-4f46f38a378b,30.01.2014,"Anbau von Genmais in der EU verhindern","enthalten"
037071c0-4cd0-4cf4-949d-4f46f38a378b,29.01.2014,"Fortsetzung des Patriot-Einsatzes in der Türkei","JA"
037071c0-4cd0-4cf4-949d-4f46f38a378b,29.01.2014,"Verlängerung des Anti-Terror-Einsatzes im Mittelmeer (OAE)","JA"
037071c0-4cd0-4cf4-949d-4f46f38a378b,28.11.2013,"Verlängerung des Bundeswehreinsatzes in Südsudan (UNMISS)","JA"
037071c0-4cd0-4cf4-949d-4f46f38a378b,28.11.2013,"Verlängerung des Darfur-Einsatzes (UNAMID)","JA"
uuid,date,title,vote
03a6c443-39f3-4cc4-8e47-bcae81104712,22.05.2015,"Tarifeinheitsgesetz","JA"
03a6c443-39f3-4cc4-8e47-bcae81104712,27.03.2015,"Nachhaltige und zukunftsweisende Liegenschaftspolitik","NEIN"
03a6c443-39f3-4cc4-8e47-bcae81104712,27.03.2015,"PKW-Maut","JA"
03a6c443-39f3-4cc4-8e47-bcae81104712,26.03.2015,"Kooperative Holzvermarktung","NEIN"
03a6c443-39f3-4cc4-8e47-bcae81104712,27.02.2015,"Finanzhilfen für Griechenland","JA"
03a6c443-39f3-4cc4-8e47-bcae81104712,26.02.2015,"Verlängerung des Bundeswehreinsatzes in Mali (EUTM Mali)","JA"
03a6c443-39f3-4cc4-8e47-bcae81104712,29.01.2015,"Ausbildungsunterstützungseinsatz Kurdistan-Irak","JA"
03a6c443-39f3-4cc4-8e47-bcae81104712,29.01.2015,"Bundeswehreinsatz zur Luftüberwachung in der Türkei","JA"
03a6c443-39f3-4cc4-8e47-bcae81104712,19.12.2014,"Bundeswehreinsatz in Afghanistan","JA"
03a6c443-39f3-4cc4-8e47-bcae81104712,18.12.2014,"Bundesdatenschutzgesetz","JA"
03a6c443-39f3-4cc4-8e47-bcae81104712,18.12.2014,"Fortsetzung des Bundeswehreinsatzes im Mittelmeer (ACTIVE ENDEAVOUR)","JA"
03a6c443-39f3-4cc4-8e47-bcae81104712,28.11.2014,"Bundeshaushaltsplan 2015","JA"
03a6c443-39f3-4cc4-8e47-bcae81104712,13.11.2014,"BAföG-Reform","JA"
03a6c443-39f3-4cc4-8e47-bcae81104712,13.11.2014,"Fortsetzung des Bundeswehreinsatzes im Südsudan","JA"
03a6c443-39f3-4cc4-8e47-bcae81104712,13.11.2014,"Lockerung des Kooperationsverbotes bei Hochschulfinanzierung","JA"
03a6c443-39f3-4cc4-8e47-bcae81104712,13.11.2014,"Verlängerung des Bundeswehreinsatzes in Darfur (UNAMID)","nicht beteiligt"
03a6c443-39f3-4cc4-8e47-bcae81104712,16.10.2014,"Klage gegen EU-Beschluss zu staatlichen AKW-Beihilfen","NEIN"
03a6c443-39f3-4cc4-8e47-bcae81104712,25.09.2014,"Ablehnung von Schiedsgerichten bei TTIP und CETA","NEIN"
03a6c443-39f3-4cc4-8e47-bcae81104712,03.07.2014,"Abschaffung der sachgrundlosen Befristung","NEIN"
03a6c443-39f3-4cc4-8e47-bcae81104712,03.07.2014,"Änderung des Staatsangehörigkeitsgesetzes","JA"
03a6c443-39f3-4cc4-8e47-bcae81104712,03.07.2014,"Angleichung der Renten in Ostdeutschland an Westniveau","NEIN"
03a6c443-39f3-4cc4-8e47-bcae81104712,03.07.2014,"Flächendeckender Mindestlohn von 8,50 Euro","JA"
03a6c443-39f3-4cc4-8e47-bcae81104712,27.06.2014,"Länderöffnungsklausel zur Vorgabe von Mindestabständen zwischen Windenergieanlagen","JA"
03a6c443-39f3-4cc4-8e47-bcae81104712,27.06.2014,"Novelle des EEG","JA"
03a6c443-39f3-4cc4-8e47-bcae81104712,25.06.2014,"Fortsetzung des Libanon-Einsatzes (UNFIL)","JA"
03a6c443-39f3-4cc4-8e47-bcae81104712,25.06.2014,"Verlängerung der Bundeswehrbeteiligung an UN-Mission in Mali (Unterstützungsmission)","JA"
